,Index,Date,Content,Company
0,70723,2024-12-27 14:06:00,"Согласно член 33, став 1, алинеја 7 од Правилата за котација на Македонската Берза за хартии од вредност АД Скопје, известуваме дека ;“Макпетрол” А.Д. - Скопје, склучи Договор за набавка на нафтени деривати од ОКТА рафинерија на нафта АД Скопје на ден. 26.12.2024 година, со важност од 1.1.2025 година до 31.12.2027 година. Вредноста на Договорот ќе зависи од идните преземени количини на нафтени деривати и од цените на истите на светските берзи.Проценуваме дека вредноста на Договорот ќе изнесува повеќе од 10 (десет) проценти од капиталот на Друштвото определено врз основа на последните ревидирани годишни финансиски извештаи.",Makpetrol AD Skopje
1,70722,2024-12-27 14:06:00,"На барање на Народната банка на Република Северна Македонија, Надзорниот одбор на ТТК Банка АД Скопје изврши корекции во Предлог – одлуката за измени и дополнувања на Статутот на ТТК Банка АД Скопје и истата заедно со Образложението за направените корекции е во продолжение.",TTK Banka AD Skopje
2,70721,2024-12-27 14:05:00,"Согласно член 33, став 1, алинеја 7 од Правилата за котација на Македонската Берза за хартии од вредност АД Скопје, известуваме дека ;“Макпетрол” А.Д. - Скопје, склучи Договор за набавка на нафтени деривати од ОКТА рафинерија на нафта АД Скопје на ден. 26.12.2024 година, со важност од 1.1.2025 година до 31.12.2027 година. Вредноста на Договорот ќе зависи од идните преземени количини на нафтени деривати и од цените на истите на светските берзи.Проценуваме дека вредноста на Договорот ќе изнесува повеќе од 10 (десет) проценти од капиталот на Друштвото определено врз основа на последните ревидирани годишни финансиски извештаи.",Makpetrol AD Skopje
3,70720,2024-12-27 14:05:00,"На барање на Народната банка на Република Северна Македонија, Надзорниот одбор на ТТК Банка АД Скопје изврши корекции во Предлог – одлуката за измени и дополнувања на Статутот на ТТК Банка АД Скопје и истата заедно со Образложението за направените корекции е во продолжение.",TTK Banka AD Skopje
4,70719,2024-12-27 09:41:00,"Имајќи ги во предвид залагањата на вработените за извршување на работните обврски, а по повод Новогодишните празници, „Макпетрол“ А.Д. - Скопје, објавува дека, на своите вработени им исплати новогодишен надоместок во нето износ од 30.000 денари.Грижата за вработените е значајна за успешноста на Друштвото на долг рок и истата претставува дел од корпоративната политика на „Макпетрол“ А.Д. - Скопје.",Makpetrol AD Skopje
5,70718,2024-12-27 09:40:00,"Имајќи ги во предвид залагањата на вработените за извршување на работните обврски, а по повод Новогодишните празници, „Макпетрол“ А.Д. - Скопје, објавува дека, на своите вработени им исплати новогодишен надоместок во нето износ од 30.000 денари.Грижата за вработените е значајна за успешноста на Друштвото на долг рок и истата претставува дел од корпоративната политика на „Макпетрол“ А.Д. - Скопје.",Makpetrol AD Skopje
6,70717,2024-12-27 09:15:00,"Согласно Глава 6 од Правилата за котација, известуваме за следната промена во органите на управување на Универзална Инвестициона Банка АД Скопје:Со Решениe бр. 15-33457/6 од 24 декември 2024 година ;од ;Гувернерката на Народна банка на РСМ, издадена е претходна согласност за именување на г- дин Делчо Крастев за член на Управниот одбор на Универзална Инвестициона Банка АД Скопје. Согласноста е издадена  ;за период од 3 (три) години, сметано од датумот на приемот на Решението.",UNI Banka AD Skopje
7,70716,2024-12-27 09:14:53,"Согласно Глава 6 од Правилата за котација, известуваме за следната промена во органите на управување на Универзална Инвестициона Банка АД Скопје:Со Решениe бр. 15-33457/6 од 24 декември 2024 година ;од ;Гувернерката на Народна банка на РСМ, издадена е претходна согласност за именување на г- дин Делчо Крастев за член на Управниот одбор на Универзална Инвестициона Банка АД Скопје. Согласноста е издадена  ;за период од 3 (три) години, сметано од датумот на приемот на Решението.",UNI Banka AD Skopje
8,70713,2024-12-26 14:07:00,Календар на настаните 2025 година,Nova stokovna kukja AD Strumica
9,70712,2024-12-26 14:06:00,Календар на настаните 2025 година,Nova stokovna kukja AD Strumica
10,70711,2024-12-25 15:43:00,"Ве известуваме дека, со Решение на Гувернерката на Народната банка на Република Северна Македонија бр. 15-34165/9 од 25 ;декември 2024 година, издадена е претходна согласност за повторно именување (реизбор) на проф. д-р Драгољуб Арсовски за член на Управниот одбор на ТТК Банка АД Скопје. ;Во согласност со Одлуката на Надзорниот одбор на Банката 02-7540/5 од 30.9.2024 година со која проф. д-р Драгољуб Арсовски е повторно именуван (реизбран) за член, тој исто така е избран и за Претседател на Управниот одбор - Генерален извршен директор на ТТК Банка АД Скопје.",TTK Banka AD Skopje
11,70710,2024-12-25 15:42:03,"Ве известуваме дека, со Решение на Гувернерката на Народната банка на Република Северна Македонија бр. 15-34165/9 од 25 ;декември 2024 година, издадена е претходна согласност за повторно именување (реизбор) на проф. д-р Драгољуб Арсовски за член на Управниот одбор на ТТК Банка АД Скопје. ;Во согласност со Одлуката на Надзорниот одбор на Банката 02-7540/5 од 30.9.2024 година со која проф. д-р Драгољуб Арсовски е повторно именуван (реизбран) за член, тој исто така е избран и за Претседател на Управниот одбор - Генерален извршен директор на ТТК Банка АД Скопје.",TTK Banka AD Skopje
12,70709,2024-12-25 15:36:00,,Makedonijaturist AD Skopje
13,70708,2024-12-25 15:28:00,,Makedonijaturist AD Skopje
14,70707,2024-12-25 15:35:15,,Makedonijaturist AD Skopje
15,70706,2024-12-25 15:27:30,,Makedonijaturist AD Skopje
16,70705,2024-12-25 15:14:00,"Врз основа на член 20 од Статутот на Факом АД Скопје се објави јавен повик за одржување Собрание на акционерите на Факом АД Скопје  ;на ден 25.12.2024 во дневниот весник Нова Македонија . Истиот оглас со повик на Собрание на акционери на Факом АД Скопје се поништува со објава на датум 26.12.2024 во дневниот весник Нова Македонија , единствената точка на дневниот ред ќе биде ставена на редовното годишно собрание што друштвото ќе го закаже согласно одредбите од ЗТД.",Fakom AD Skopje
17,70704,2024-12-25 15:03:00,"Одлука за измена на лице за контакт за Силекс Ад, Кратово",Sileks AD Kratovo
18,70703,2024-12-25 15:13:47,"Врз основа на член 20 од Статутот на Факом АД Скопје се објави јавен повик за одржување Собрание на акционерите на Факом АД Скопје  ;на ден 25.12.2024 во дневниот весник Нова Македонија . Истиот оглас со повик на Собрание на акционери на Факом АД Скопје се поништува со објава на датум 26.12.2024 во дневниот весник Нова Македонија , единствената точка на дневниот ред ќе биде ставена на редовното годишно собрание што друштвото ќе го закаже согласно одредбите од ЗТД.",Fakom AD Skopje
19,70702,2024-12-25 15:02:37,"Одлука за измена на лице за контакт за Силекс Ад, Кратово",Sileks AD Kratovo
